,day,nisho,kion_A,kion_L,kion_H,ruiseki
174,2021/6/24,0.3,18.7,16.8,22.2,437.8
175,2021/6/25,7.1,21.5,17.4,27.1,449.6
176,2021/6/26,4.6,22.4,19.2,27.6,462.0
177,2021/6/27,6.7,22.9,17.9,28.8,476.2
178,2021/6/28,10.8,23.5,19.5,29.9,489.1
179,2021/6/29,0.0,19.8,17.2,22.0,503.6
180,2021/6/30,11.1,21.2,15.7,27.2,515.8
181,2021/7/1,0.0,20.3,17.9,22.7,526.5
182,2021/7/2,1.7,22.0,19.0,27.7,539.4
183,2021/7/3,0.0,21.1,18.6,24.6,553.4
184,2021/7/4,1.7,19.5,17.0,23.5,567.0
185,2021/7/5,0.0,21.3,17.1,24.6,579.0
186,2021/7/6,1.1,22.7,19.6,25.4,591.1
187,2021/7/7,0.0,21.0,19.6,23.2,605.7
188,2021/7/8,0.0,21.5,20.3,24.3,620.3
189,2021/7/9,0.0,21.4,20.3,23.6,635.6
190,2021/7/10,0.4,21.9,19.8,26.1,650.9
191,2021/7/11,0.6,22.8,20.2,26.6,665.7
192,2021/7/12,0.8,23.4,21.0,26.9,680.9
193,2021/7/13,2.4,23.9,20.9,29.2,696.9
194,2021/7/14,7.5,24.5,21.3,28.9,712.8
195,2021/7/15,6.1,23.8,20.7,28.5,729.1
196,2021/7/16,8.8,26.5,22.1,32.7,744.8
197,2021/7/17,10.8,28.0,23.0,35.6,761.9
198,2021/7/18,13.7,28.8,22.3,36.6,779.9
199,2021/7/19,13.6,28.7,22.1,36.4,797.2
200,2021/7/20,13.3,28.5,21.8,36.2,814.3
201,2021/7/21,8.3,27.7,23.3,34.6,831.1
202,2021/7/22,1.4,25.1,22.4,28.8,849.4
203,2021/7/23,4.3,25.7,22.5,30.7,866.8
204,2021/7/24,7.8,27.4,23.6,33.4,884.3
205,2021/7/25,11.2,27.2,23.5,32.9,902.9
206,2021/7/26,11.2,26.4,22.8,31.5,921.4
207,2021/7/27,5.4,25.2,21.8,29.9,939.2
208,2021/7/28,0.9,24.0,21.6,28.1,956.0
209,2021/7/29,6.9,26.2,22.5,31.5,972.6
210,2021/7/30,8.6,25.8,22.6,30.7,990.1
211,2021/7/31,5.3,25.6,22.5,31.2,1007.7
212,2021/8/1,0.0,25.0,23.1,27.3,1025.2
213,2021/8/2,8.7,27.3,23.7,33.0,1043.3
214,2021/8/3,6.2,28.3,25.6,33.2,1062.0
215,2021/8/4,6.4,28.7,25.2,36.3,1082.6
216,2021/8/5,10.6,29.5,25.1,35.8,1102.8
217,2021/8/6,8.5,28.2,25.0,33.8,1122.9
218,2021/8/7,9.3,27.9,24.5,33.5,1142.9
219,2021/8/8,0.5,26.7,24.5,31.9,1162.4
220,2021/8/9,0.2,26.6,24.6,29.6,1181.9
221,2021/8/10,0.0,23.0,19.0,28.7,1201.5
222,2021/8/11,0.6,20.7,17.1,24.3,1215.5
223,2021/8/12,0.0,18.3,16.5,20.3,1227.6
224,2021/8/13,0.0,18.0,16.1,19.3,1239.1
225,2021/8/14,0.0,17.4,15.8,19.8,1250.2
226,2021/8/15,2.2,20.0,16.4,25.3,1261.0
227,2021/8/16,0.0,19.5,17.3,21.9,1272.4
228,2021/8/17,0.0,19.5,17.1,22.5,1284.7
229,2021/8/18,1.4,23.9,19.9,29.2,1296.8
230,2021/8/19,11.2,26.1,20.0,32.8,1311.7
231,2021/8/20,7.9,25.6,21.6,32.1,1326.7
232,2021/8/21,0.1,24.2,21.6,27.8,1343.3
233,2021/8/22,1.2,24.7,22.9,27.4,1359.9
234,2021/8/23,7.6,25.4,21.1,30.5,1377.8
235,2021/8/24,1.6,22.9,18.7,27.5,1393.9
236,2021/8/25,0.6,24.4,20.9,28.9,1407.6
237,2021/8/26,2.9,27.1,23.5,31.0,1423.5
238,2021/8/27,5.1,26.6,23.1,31.2,1442.0
239,2021/8/28,0.9,22.5,20.8,25.2,1460.1
240,2021/8/29,9.2,24.2,20.1,29.6,1475.9
241,2021/8/30,0.2,23.2,20.3,26.8,1491.0
242,2021/8/31,0.0,22.7,19.0,26.5,1506.3
243,2021/9/1,0.0,20.4,17.9,23.8,1520.3
244,2021/9/2,10.0,21.1,17.2,26.8,1533.2
245,2021/9/3,9.0,20.2,14.4,26.1,1545.4
246,2021/9/4,0.0,18.3,15.8,21.9,1554.8
247,2021/9/5,0.2,18.8,16.0,22.7,1565.6
248,2021/9/6,9.2,18.5,14.3,24.1,1576.6
249,2021/9/7,11.3,17.5,11.4,24.1,1585.9
250,2021/9/8,0.0,17.3,14.7,20.7,1592.3
251,2021/9/9,3.5,21.3,18.0,26.0,1602.0
252,2021/9/10,10.1,22.7,17.3,29.3,1615.0
253,2021/9/11,2.6,21.8,19.6,27.1,1627.3
254,2021/9/12,8.2,23.0,19.0,29.7,1641.9
255,2021/9/13,8.3,21.2,16.0,25.7,1655.9
256,2021/9/14,3.5,18.4,14.3,22.8,1666.9
257,2021/9/15,8.1,20.2,16.4,26.0,1676.2
258,2021/9/16,0.0,17.6,16.0,19.9,1687.6
259,2021/9/17,0.3,18.7,16.0,21.3,1698.6
260,2021/9/18,0.0,20.5,18.6,22.3,1709.6
261,2021/9/19,11.5,21.1,14.5,28.3,1723.2
262,2021/9/20,9.6,19.9,13.8,27.0,1732.7
263,2021/9/21,10.4,20.7,16.3,25.7,1741.5
264,2021/9/22,4.7,22.5,19.1,27.2,1752.8
265,2021/9/23,3.3,20.8,17.8,26.1,1766.9
266,2021/9/24,6.5,20.4,17.3,25.0,1779.7
267,2021/9/25,10.2,18.7,15.6,23.6,1792.0
268,2021/9/26,0.4,17.2,13.8,20.6,1802.6
269,2021/9/27,7.2,16.7,11.5,23.3,1811.4
270,2021/9/28,8.2,17.5,12.4,24.4,1817.9
271,2021/9/29,5.6,19.2,14.3,24.3,1825.3
272,2021/9/30,0.3,22.1,19.1,26.4,1834.6
273,2021/10/1,0.0,17.1,13.8,19.9,1848.7
274,2021/10/2,6.6,18.4,13.7,24.2,1857.5
275,2021/10/3,11.2,18.0,11.9,24.4,0.0
276,2021/10/4,8.4,20.3,14.9,28.4,0.0
277,2021/10/5,0.0,20.4,17.3,23.5,0.0
278,2021/10/6,2.2,16.8,13.8,20.1,0.0
279,2021/10/7,1.5,16.3,12.6,19.2,0.0
280,2021/10/8,0.0,19.0,17.3,20.9,0.0
281,2021/10/9,5.5,17.7,15.4,20.9,0.0
282,2021/10/10,3.5,18.8,16.0,21.9,0.0
283,2021/10/11,0.2,18.4,15.3,21.9,0.0
284,2021/10/12,0.0,15.2,14.4,16.7,0.0
285,2021/10/13,0.0,14.9,13.7,16.8,0.0
286,2021/10/14,9.5,16.4,10.4,23.2,0.0
287,2021/10/15,0.0,15.8,13.3,20.5,0.0
288,2021/10/16,0.0,12.4,11.5,15.1,0.0
289,2021/10/17,0.8,9.7,4.8,12.9,0.0
290,2021/10/18,1.7,9.0,5.1,13.3,0.0
291,2021/10/19,1.7,11.2,7.1,15.9,0.0
292,2021/10/20,1.1,12.5,9.9,15.3,0.0
293,2021/10/21,2.4,9.4,6.1,11.7,0.0
294,2021/10/22,5.8,8.5,3.8,14.6,0.0
295,2021/10/23,5.1,8.0,4.9,12.3,0.0
296,2021/10/24,9.4,9.5,2.7,18.1,0.0
297,2021/10/25,6.4,10.6,4.0,16.7,0.0
298,2021/10/26,0.0,10.6,7.4,12.3,0.0
299,2021/10/27,0.1,10.0,6.5,13.3,0.0
300,2021/10/28,4.7,11.6,7.7,17.6,0.0
301,2021/10/29,7.9,10.5,5.9,16.6,0.0
302,2021/10/30,9.9,9.7,3.1,16.9,0.0
303,2021/10/31,4.0,11.1,6.0,16.6,0.0
304,2021/11/1,1.8,11.8,7.8,16.6,0.0
305,2021/11/2,6.8,13.6,8.7,19.5,0.0
306,2021/11/3,7.4,11.8,6.2,18.5,0.0
307,2021/11/4,7.6,11.9,8.1,18.2,0.0
308,2021/11/5,7.3,10.9,5.9,16.8,0.0
309,2021/11/6,6.1,9.1,4.9,15.6,0.0
310,2021/11/7,9.6,9.5,3.8,17.6,0.0
311,2021/11/8,2.8,10.0,3.8,16.0,0.0
312,2021/11/9,0.0,15.6,11.1,19.0,0.0
313,2021/11/10,2.1,12.4,9.4,15.5,0.0
314,2021/11/11,0.7,10.1,8.6,12.8,0.0
315,2021/11/12,1.6,8.6,6.0,11.8,0.0
316,2021/11/13,2.6,7.9,5.1,12.1,0.0
317,2021/11/14,8.2,10.6,5.9,16.3,0.0
318,2021/11/15,1.4,9.6,6.9,13.7,0.0
319,2021/11/16,2.8,8.2,3.4,12.6,0.0
320,2021/11/17,6.2,6.2,1.5,12.9,0.0
321,2021/11/18,1.4,5.4,1.1,10.4,0.0
322,2021/11/19,2.3,10.8,5.3,16.5,0.0
323,2021/11/20,9.2,7.8,2.5,12.0,0.0
324,2021/11/21,6.0,5.5,0.3,11.1,0.0
325,2021/11/22,0.0,9.0,5.7,13.6,0.0
326,2021/11/23,0.8,6.6,4.0,10.7,0.0
327,2021/11/24,0.4,3.5,1.9,5.0,0.0
328,2021/11/25,0.9,4.3,2.2,6.9,0.0
329,2021/11/26,6.2,3.7,1.9,5.6,0.0
330,2021/11/27,6.1,3.0,-0.2,6.9,0.0
331,2021/11/28,8.3,3.0,-1.9,9.2,0.0
332,2021/11/29,5.3,2.2,-2.1,9.0,0.0
333,2021/11/30,8.2,6.1,-0.6,13.0,0.0
334,2021/12/1,1.1,8.6,1.3,14.1,0.0
335,2021/12/2,2.2,2.1,0.2,4.7,0.0
336,2021/12/3,7.0,4.6,-2.0,10.9,0.0
337,2021/12/4,2.5,3.8,0.2,6.2,0.0
338,2021/12/5,1.0,1.7,-1.4,3.7,0.0
339,2021/12/6,3.4,2.2,-2.0,5.9,0.0
340,2021/12/7,1.4,6.3,2.5,9.4,0.0
341,2021/12/8,0.0,7.8,5.9,9.8,0.0
342,2021/12/9,8.6,5.6,0.0,10.3,0.0
343,2021/12/10,0.5,2.3,-1.7,7.9,0.0
344,2021/12/11,3.0,5.4,-0.9,10.9,0.0
345,2021/12/12,0.2,6.1,3.3,8.6,0.0
346,2021/12/13,0.5,0.6,-1.9,4.6,0.0
347,2021/12/14,5.0,3.9,-0.2,7.5,0.0
348,2021/12/15,0.8,2.8,-0.9,6.6,0.0
349,2021/12/16,0.0,1.6,-1.9,3.5,0.0
350,2021/12/17,0.0,3.6,-1.4,8.0,0.0
351,2021/12/18,0.0,-3.0,-5.3,-0.5,0.0
352,2021/12/19,0.3,-1.8,-4.2,0.7,0.0
353,2021/12/20,0.9,0.1,-4.0,3.6,0.0
354,2021/12/21,1.2,3.3,0.6,7.1,0.0
355,2021/12/22,6.1,1.2,0.1,3.6,0.0
356,2021/12/23,5.3,1.3,-1.5,3.4,0.0
357,2021/12/24,7.5,1.4,-2.9,5.4,0.0
358,2021/12/25,0.9,-2.0,-5.9,1.1,0.0
359,2021/12/26,2.0,-5.4,-6.6,-2.6,0.0
360,2021/12/27,2.6,-4.4,-6.5,-2.0,0.0
361,2021/12/28,2.1,-3.1,-5.5,-1.0,0.0
362,2021/12/29,0.5,-0.9,-4.2,0.7,0.0
363,2021/12/30,0.4,0.6,-1.6,2.3,0.0
364,2021/12/31,0.0,-4.9,-6.3,-1.6,0.0
